method,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,bandwidth,spatial_bandwidth,temporal_bandwidth
OLS,0.016268372535705566,-0.11070621013641357,0.6810945000921128,0.7598898425703848,0.475625216960907,0.5852956175804138,,,
ML_Ridge,0.1594599485397339,-0.05422401428222656,0.6295761663111843,0.7403165826970729,0.46612581610679626,0.5705299377441406,,,
ML_Lasso,0.041410744190216064,0.04239267110824585,0.6723344252301214,0.705577557221572,0.47102200984954834,0.5524905323982239,,,
ML_Random_Forest,0.8641228101302797,-0.34743035320085713,0.2531292451078712,0.8369590025648553,0.16917863246567355,0.626225259838933,,,
ML_Gradient_Boosting,0.7039835779910837,-0.44234696548535446,0.3736172746847256,0.8659361981139505,0.2735224879913243,0.6483397508597807,,,
ML_SVR,0.3430057948501348,0.0044144651334058205,0.5566084756965802,0.7194329273549092,0.34931669817527633,0.5362921616443773,,,
ML_MLP,0.8818217515945435,-2.5140225887298584,0.2360683779208153,1.3516159047066205,0.12222608178853989,0.9722710251808167,,,
GWR,0.22019596670018693,-0.2761604811904721,0.6064036187111786,0.8145235919802359,0.44916551445591496,0.6213383605930389,12.727955500214039,,
GTWR,0.28344410802483333,-0.4506773358311109,0.5812916458141842,0.868433233763742,0.4219758477736497,0.6521857089616498,,12.727955500214039,5.0
GNN_GTWR_GCN_cosine,0.9150714306409916,0.8531993941811405,0.20012252718448093,0.2762580609545067,0.04665657662729818,0.08467766428360218,,,
GNN_GTWR_GAT_dot_product,0.8798658484197037,0.7956018640442437,0.23801389816835003,0.32597890809522706,0.06599720554655757,0.11790112608944055,,,
GNN_GTVC_GCN_gaussian,0.8355994520336202,0.78580836121682,0.2784329987432519,0.3336969921705944,0.09031550656810412,0.12355022365245999,,,
GNN_GTVC_GAT_cosine,0.9066176145774936,0.8401115011743209,0.2098464160073891,0.28830996127309627,0.051300786696260606,0.09222703510553652,,,
