Method,Category,R2,RMSE,MAE,Language,Type
GNN_GTVC_GAT_cosine,GNN_Proposed,0.8412,0.3575,0.285,Python,Graph_Neural
GNN_GTVC_GCN_gaussian,GNN_Proposed,0.8232,0.3772,0.3,Python,Graph_Neural
GNN_GTWR_GAT_dot_product,GNN_Proposed,0.8104,0.3906,0.31,Python,Graph_Neural
GNN_GTWR_GCN_cosine,GNN_Proposed,0.7982,0.403,0.32,Python,Graph_Neural
Python_Gradient_Boosting,ML_Python,0.7243649679217609,0.3654905209269712,0.2596706888803111,Python,Global
GTWR_Adaptive_R,Traditional_R,0.6782498,0.3948829,0.2700848,R,Spatial
Python_SVR,ML_Python,0.594174174528554,0.44348481222250513,0.22410700260041788,Python,Global
Python_Random_Forest,ML_Python,0.5522084151985628,0.46585083140633604,0.33797730536980786,Python,Global
Python_MLP,ML_Python,0.37382864007855876,0.550878104394016,0.39743757653327383,Python,Global
GWR_Adaptive_R,Traditional_R,0.1965793,0.623994,0.4674127,R,Spatial
GWR_Fixed_R,Traditional_R,0.1711713,0.6337841,0.4709481,R,Spatial
OLS_R,Traditional_R,0.1520882,0.6410387,0.4742321,R,Global
Python_OLS,ML_Python,0.15108175355370201,0.6414190366339949,0.4740319988153242,Python,Global
WLS_R,Traditional_R,0.1495393,0.6420015,0.4703245,R,Global
Python_Ridge,ML_Python,0.11648149107942574,0.6543599899109152,0.48326115959767074,Python,Global
Python_Lasso,ML_Python,0.0983547754150127,0.661038500293477,0.48756208157881126,Python,Global
