Experiment,Emb_Dim,K,Folds,Coef_Loss,Learn_T,RMSE,R²,Avg_Corr,β₀_Corr,β₁_Corr,β₂_Corr,Time_s,Memory_MB
GCN-k16,16,16,2,No,No,0.3971971544942862,0.8049110341555824,0.5510351462418566,0.7622816078474866,0.5374745199168869,0.3533493109611963,10.735815286636353,0.83984375
GCN-learnTFalse,16,16,5,No,No,0.39777985220576245,0.804338213949107,0.5691977745866008,0.794286183163847,0.5231329030309273,0.3901742375650281,15.75358247756958,0.63671875
GCN-5fold,16,8,5,No,No,0.3984911483831238,0.8036378370330616,0.5390785422769979,0.7446399042082537,0.5652119365846698,0.30738378603807026,34.662273645401,2.1171875
GCN-learnTTrue,16,16,5,No,Yes,0.39866155891207905,0.8034698567149658,0.5634809232165959,0.7900232117884143,0.5281119457484418,0.37230761211293156,17.758094787597656,0.234375
GCN-k8,16,8,2,No,No,0.3987927138070146,0.8033405233007049,0.556163027266115,0.7906024776624608,0.5517020077019699,0.32618459643391434,11.224838256835938,-2.87890625
GCN-coeflossTrue,16,16,2,Yes,No,0.3989984808371029,0.8031375282369173,0.5402349965981831,0.7979371201805028,0.48606812356936613,0.3366997460446803,9.98558759689331,0.4765625
GCN-BEST,16,16,5,No,No,0.3992194831201884,0.8029193865300162,0.5569328938453902,0.7869934566903639,0.5031061074085353,0.38069911743727164,16.88898205757141,0.25390625
GCN-emb64,64,8,2,No,No,0.39957668872846863,0.8025665490649981,0.43864127147049853,0.7268260511155487,0.43113758513400346,0.15796017816194335,15.218846559524536,0.66796875
GCN-coeflossFalse,16,16,2,No,No,0.39959344781705625,0.8025499871674859,0.5491740747107453,0.7978027410329673,0.49232182545334363,0.3573976576459249,12.70675802230835,-2.03125
GCN-emb16,16,8,2,No,No,0.39962155935516297,0.8025222048360469,0.5814304230891006,0.7987705551766322,0.5606316612262241,0.38488905286444575,11.170016050338745,-1.98046875
GCN-emb32,32,8,2,No,No,0.3999128702172161,0.8022341903724056,0.566017150769752,0.7970785584404319,0.49126644654608687,0.40970644732273714,14.587164402008057,-2.72265625
GCN-2fold,16,8,2,No,No,0.39991750676393767,0.8022296045948523,0.5751177591399134,0.7715761294248511,0.5644104273550189,0.3893667206398703,7.801852226257324,0.41796875
GCN-k32,16,32,2,No,No,0.40132475612791296,0.8008353073817434,0.40296682598700245,0.8082907126936982,0.3836724832207567,0.016937282046552277,14.905084609985352,1.90625
